,LLAVEMOD,SEXO,SEXO_HM,EDAD_V,NIV,NIVED_T,REGION,REGION_T,TLOC,p461,p462,p463,p464,p465,p466,p461_t,p462_t,p463_t,p464_t,p465_t,p466_t,t46_calif
11360,1119520101,2,F,56,6,high School,3,Bajío,2,1,1,2,1,3,2,Always,Always,Sometimes,Always,Never,Sometimes,8.333333333333334
11361,1119601101,2,F,49,2,Basic,5,South/East,4,1,1,3,1,1,3,Always,Always,Never,Always,Always,Never,9.166666666666666
11362,1119702102,2,F,31,3,Basic,6,South,4,1,1,2,2,2,3,Always,Always,Sometimes,Sometimes,Sometimes,Never,7.916666666666666
11363,1119806101,1,M,28,6,high School,1,Northwest,4,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
11364,1119905101,2,F,64,3,Basic,1,Northwest,1,1,1,3,3,3,3,Always,Always,Never,Never,Never,Never,7.5
11365,1120003102,2,F,65,2,Basic,1,Northwest,4,1,1,1,1,3,3,Always,Always,Always,Always,Never,Never,7.5
11366,1120113102,2,F,19,2,Basic,6,South,4,3,2,2,1,2,2,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,7.5
11367,1120218102,2,F,23,3,Basic,6,South,4,1,1,3,1,2,1,Always,Always,Never,Always,Sometimes,Always,9.583333333333334
11369,1120401101,2,F,71,2,Basic,5,South/East,2,3,1,3,3,2,3,Never,Always,Never,Never,Sometimes,Never,7.083333333333333
11370,1120503102,1,M,19,6,high School,6,South,1,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
11371,1120605101,1,M,34,2,Basic,3,Bajío,1,1,2,2,2,1,3,Always,Sometimes,Sometimes,Sometimes,Always,Never,7.916666666666666
11372,1120705102,2,F,65,3,Basic,2,Northeast,4,1,1,3,1,1,3,Always,Always,Never,Always,Always,Never,9.166666666666666
11373,1120802101,1,M,64,2,Basic,6,South,3,1,1,2,3,3,2,Always,Always,Sometimes,Never,Never,Sometimes,7.5
11374,1120905102,2,F,37,3,Basic,2,Northeast,1,1,1,2,1,2,1,Always,Always,Sometimes,Always,Sometimes,Always,9.166666666666666
11375,1121015101,1,M,60,3,Basic,6,South,3,1,1,1,2,3,3,Always,Always,Always,Sometimes,Never,Never,7.083333333333333
11376,1121117101,1,M,35,6,high School,2,Northeast,4,1,1,2,3,3,1,Always,Always,Sometimes,Never,Never,Always,7.916666666666666
11377,1121204101,1,M,43,6,high School,6,South,3,1,1,3,2,1,2,Always,Always,Never,Sometimes,Always,Sometimes,9.166666666666666
11378,1121318102,2,F,64,2,Basic,6,South,3,1,1,1,3,3,3,Always,Always,Always,Never,Never,Never,6.666666666666666
11379,1121403101,1,M,40,2,Basic,1,Northwest,1,1,1,1,1,1,3,Always,Always,Always,Always,Always,Never,8.333333333333334
11380,1121504101,1,M,33,6,high School,5,South/East,1,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
11381,1121504201,2,F,34,6,high School,5,South/East,1,1,1,3,1,1,3,Always,Always,Never,Always,Always,Never,9.166666666666666
11382,1121620102,2,F,62,2,Basic,3,Bajío,3,1,1,2,1,1,1,Always,Always,Sometimes,Always,Always,Always,9.583333333333334
11383,1121703103,1,M,20,3,Basic,6,South,3,2,1,3,1,2,2,Sometimes,Always,Never,Always,Sometimes,Sometimes,8.75
11384,1121801104,2,F,27,8,Undergraduate,5,South/East,1,1,1,3,1,2,2,Always,Always,Never,Always,Sometimes,Sometimes,9.166666666666666
11386,1122012101,1,M,29,7,high School,1,Northwest,3,1,1,3,2,3,2,Always,Always,Never,Sometimes,Never,Sometimes,8.333333333333334
11387,1122105102,2,F,25,3,Basic,5,South/East,4,2,2,2,2,2,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,7.5
11388,1122218102,2,F,67,2,Basic,5,South/East,2,1,1,3,1,3,2,Always,Always,Never,Always,Never,Sometimes,8.75
11389,1122306102,2,F,59,3,Basic,3,Bajío,2,1,2,2,2,2,2,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,7.916666666666666
11390,1122411101,1,M,68,2,Basic,6,South,4,1,1,1,3,3,2,Always,Always,Always,Never,Never,Sometimes,7.083333333333333
11392,1122602101,1,M,29,10,Graduate,1,Northwest,1,1,1,2,2,2,2,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,8.333333333333334
11393,1122705101,1,M,45,2,Basic,3,Bajío,3,3,2,1,2,2,3,Never,Sometimes,Always,Sometimes,Sometimes,Never,6.25
11394,1122804102,2,F,55,6,high School,2,Northeast,1,2,1,1,2,3,3,Sometimes,Always,Always,Sometimes,Never,Never,6.666666666666666
11395,1122903101,1,M,56,6,high School,3,Bajío,2,1,1,2,1,3,2,Always,Always,Sometimes,Always,Never,Sometimes,8.333333333333334
11396,1123005102,2,F,81,2,Basic,2,Northeast,1,2,1,2,2,3,2,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,7.5
